label,iters,totalMs,nsPerOp,opsPerSec,node,platform,commit,timestamp
"new HwAddress(canon48)",200000,1469.267,7346.3,136122,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"new HwAddress(packed48)",200000,1034.69,5173.4,193295,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"new HwAddress(number48, 48)",200000,890.871,4454.4,224499,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"canonicalToPacked(48)",500000,346.747,693.5,1441974,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"packedToCanonical(48)",500000,448.324,896.6,1115264,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"canonToNumeric(48)",500000,609.754,1219.5,820003,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"packedToNumeric(48)",500000,229.408,458.8,2179526,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"format('canonical')",300000,2454.648,8182.2,122217,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"compareTo (a<b)",500000,6158.956,12317.9,81183,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"new HwAddress(canon64)",150000,1009.964,6733.1,148520,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"canonicalToPacked(64)",300000,245.695,819,1221028,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
"packedToCanonical(64)",300000,327.664,1092.2,915571,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:17:58.814Z
